Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,150500.000000,153000.000000,149000.000000,149500.000000,148327.453125,731763
2018-01-03,149000.000000,151000.000000,149000.000000,150500.000000,149319.609375,450874
2018-01-04,150500.000000,151000.000000,146000.000000,146500.000000,145350.984375,931558
2018-01-05,146000.000000,149000.000000,145500.000000,149000.000000,147831.375000,463695
2018-01-08,148500.000000,151000.000000,147500.000000,151000.000000,149815.687500,482619
2018-01-09,151000.000000,152500.000000,149500.000000,152500.000000,151303.921875,465845
2018-01-10,152500.000000,158000.000000,152000.000000,155500.000000,154280.390625,793679
2018-01-11,156000.000000,156500.000000,152500.000000,155000.000000,153784.312500,476891
2018-01-12,153500.000000,156000.000000,153500.000000,154000.000000,152792.156250,424738
2018-01-15,154000.000000,155000.000000,151000.000000,155000.000000,153784.312500,315592
2018-01-16,153500.000000,158000.000000,153000.000000,158000.000000,156760.781250,440542
2018-01-17,157000.000000,159000.000000,156000.000000,157500.000000,156264.703125,363034
2018-01-18,157500.000000,158000.000000,154000.000000,155000.000000,153784.312500,324686
2018-01-19,155000.000000,162000.000000,154500.000000,162000.000000,160729.406250,637243
2018-01-22,162500.000000,164000.000000,158500.000000,162500.000000,161225.484375,582519
2018-01-23,163000.000000,167500.000000,161000.000000,161000.000000,159737.250000,727921
2018-01-24,160500.000000,162000.000000,156000.000000,156500.000000,155272.546875,653451
2018-01-25,155500.000000,159000.000000,154000.000000,158500.000000,157256.859375,776214
2018-01-26,155000.000000,155500.000000,149000.000000,152500.000000,151303.921875,1058626
2018-01-29,153000.000000,155500.000000,152000.000000,154500.000000,153288.234375,504827
2018-01-30,155000.000000,158000.000000,154500.000000,156000.000000,154776.468750,458611
2018-01-31,157000.000000,162000.000000,154500.000000,162000.000000,160729.406250,926031
2018-02-01,161500.000000,162000.000000,158500.000000,160500.000000,159241.171875,478000
2018-02-02,161000.000000,164000.000000,160500.000000,162500.000000,161225.484375,813167
2018-02-05,162500.000000,163000.000000,159000.000000,159000.000000,157752.937500,670474
2018-02-06,158000.000000,161000.000000,153500.000000,157500.000000,156264.703125,690538
2018-02-07,157500.000000,160500.000000,156000.000000,157500.000000,156264.703125,552642
2018-02-08,158500.000000,163500.000000,156500.000000,161000.000000,159737.250000,883512
2018-02-09,156500.000000,158500.000000,154500.000000,155000.000000,153784.312500,721962
2018-02-12,155500.000000,156500.000000,153500.000000,154000.000000,152792.156250,554120
2018-02-13,154000.000000,155500.000000,152000.000000,152500.000000,151303.921875,528608
2018-02-14,152000.000000,155000.000000,152000.000000,154500.000000,153288.234375,265716
2018-02-19,156500.000000,157000.000000,154500.000000,155000.000000,153784.312500,265257
2018-02-20,155000.000000,156000.000000,152500.000000,153500.000000,152296.078125,218792
2018-02-21,152500.000000,161000.000000,152500.000000,160000.000000,158745.093750,537567
2018-02-22,159000.000000,159500.000000,156000.000000,157000.000000,155768.625000,339005
2018-02-23,158500.000000,159500.000000,157500.000000,159000.000000,157752.937500,275917
2018-02-26,159000.000000,162000.000000,157500.000000,161000.000000,159737.250000,513314
2018-02-27,160500.000000,162000.000000,160000.000000,161000.000000,159737.250000,273491
2018-02-28,159000.000000,163000.000000,158000.000000,161500.000000,160233.328125,496851
2018-03-02,158000.000000,159000.000000,154500.000000,156000.000000,154776.468750,591106
2018-03-05,155500.000000,157000.000000,152500.000000,153000.000000,151800.000000,410894
2018-03-06,154500.000000,158000.000000,154500.000000,157000.000000,155768.625000,375611
2018-03-07,154000.000000,155000.000000,152000.000000,152500.000000,151303.921875,598406
2018-03-08,153500.000000,155000.000000,152000.000000,154500.000000,153288.234375,488545
2018-03-09,153500.000000,155000.000000,152500.000000,154000.000000,152792.156250,460548
2018-03-12,154000.000000,155500.000000,153000.000000,153500.000000,152296.078125,422236
2018-03-13,152500.000000,155000.000000,152500.000000,153500.000000,152296.078125,378343
2018-03-14,152500.000000,157000.000000,152000.000000,156000.000000,154776.468750,605609
2018-03-15,156500.000000,159000.000000,155000.000000,157500.000000,156264.703125,367882
2018-03-16,158000.000000,159500.000000,156000.000000,157500.000000,156264.703125,351970
2018-03-19,152500.000000,153000.000000,150000.000000,151500.000000,150311.765625,749609
2018-03-20,150500.000000,153500.000000,150000.000000,152500.000000,151303.921875,311027
2018-03-21,152500.000000,155000.000000,152500.000000,154500.000000,153288.234375,277076
2018-03-22,154500.000000,154500.000000,152000.000000,152500.000000,151303.921875,330219
2018-03-23,151000.000000,153000.000000,150500.000000,151500.000000,150311.765625,578521
2018-03-26,151000.000000,152500.000000,149500.000000,149500.000000,148327.453125,466599
2018-03-27,150000.000000,154000.000000,149500.000000,154000.000000,152792.156250,683470
2018-03-28,153000.000000,155000.000000,148000.000000,151500.000000,150311.765625,905733
2018-03-29,150500.000000,152000.000000,142500.000000,143500.000000,142374.515625,1532300
2018-03-30,144000.000000,145500.000000,142500.000000,143500.000000,142374.515625,525910
2018-04-02,144500.000000,148500.000000,144000.000000,148500.000000,147335.296875,569272
2018-04-03,147000.000000,152500.000000,145500.000000,152000.000000,150807.843750,2258712
2018-04-04,156000.000000,159500.000000,155000.000000,156500.000000,155272.546875,1198367
